index,label
1001,1
1019,1
1065,1
1099,1
1131,1
1145,1
1146,1
1168,1
1196,1
1204,1
1208,1
1210,1
1230,1
1252,1
1292,1
1332,1
1353,1
1355,1
1358,1
1402,1
1421,1
1441,1
1453,0
1458,0
1496,0
1534,0
1562,0
1570,0
1580,0
1624,0
1631,0
1673,0
1770,0
1825,0
1840,0
1866,0
1867,0
1873,0
1877,0
1899,0
1917,0
1923,0
1942,0
1971,0
1973,0
2000,0
2007,0
2028,0
2040,0
2049,0
2069,0
2078,0
2105,0
21101,0
21112,0
21134,0
21143,0
2118,0
21195,0
21223,0
21243,0
2125,0
21252,0
21262,0
21291,1
21325,1
21355,1
21441,1
21451,1
21462,1
21483,1
21485,1
21500,1
21551,1
21553,1
21572,1
21597,1
21652,1
21706,1
21711,1
2172,0
21724,1
21733,1
21739,1
2174,0
21764,1
2177,0
21804,1
2181,0
21855,1
21913,1
21956,1
21959,1
21968,1
21973,1
21984,1
21991,1
22020,0
22043,0
22044,0
22045,0
22070,0
22128,0
2215,0
22156,0
22164,0
22165,0
22167,0
22194,0
22208,0
22214,0
22233,0
22271,0
22283,0
2229,0
22298,0
22331,0
22341,0
22364,0
22394,0
2242,0
22435,0
2244,0
22490,0
22493,0
22520,0
22544,0
22580,0
22602,0
22608,0
22617,0
22633,0
2264,0
22640,0
22683,0
22702,0
22710,0
22719,0
22724,0
22726,0
22729,0
22731,0
22738,0
22744,0
22777,0
2278,0
22790,0
22795,0
22810,0
22826,0
22835,0
22848,0
22850,0
22867,0
22958,0
22963,0
22969,0
23003,0
23026,0
23029,0
23050,0
23055,0
23072,0
23088,0
23109,0
23159,0
2318,0
23201,0
23328,0
23345,0
23357,0
23365,0
2341,0
23413,0
2346,0
23463,0
23488,0
23497,0
23519,0
23542,0
23545,0
2362,0
23670,0
2409,0
2442,0
2495,0
2497,0
2510,0
2522,0
2536,0
2545,0
2566,0
2594,0
2633,0
2636,0
2682,0
2699,0
2710,0
2744,0
2749,0
2771,0
2798,0
2862,0
2867,0
2898,0
2909,0
2910,0
2926,0
2929,0
2948,0
2951,0
2956,0
2966,0
2972,0
2981,0
2994,0
3021,0
3047,0
3144,0
3153,0
3163,0
3182,0
3207,0
3217,0
3219,0
3250,0
3257,0
3267,0
3279,0
3291,0
3309,0
3311,0
3326,0
3374,0
3377,0
3415,0
3421,0
3438,0
3452,0
3468,0
3471,0
3483,0
3489,0
352,1
3529,0
3551,0
356,1
3566,0
357,1
3608,0
3621,0
3630,0
3652,0
3662,0
3701,0
371,1
3738,0
3770,0
3772,0
380,1
3814,0
3837,0
384,1
3845,0
3854,0
3860,0
3871,0
3898,0
3916,0
3924,0
3927,0
393,1
3942,0
3945,0
3969,0
4034,0
406,1
410,1
4115,0
4117,0
4157,0
4181,0
4220,0
4229,0
4275,0
4317,0
4337,0
4353,0
4375,0
4378,0
4395,0
4408,0
4409,0
4412,0
4416,0
4421,0
4436,0
4496,0
4509,0
4517,0
4543,0
4574,0
4581,0
4586,0
4592,0
4593,0
4600,0
4611,0
4624,0
4627,0
4642,0
4645,0
466,1
4661,0
4674,0
4715,0
4716,0
472,1
4723,0
4802,0
4813,0
483,1
4842,0
488,1
4896,0
4898,0
4904,0
4905,0
4942,0
4977,0
4996,0
5017,0
5025,0
504,1
5085,0
5091,0
5103,0
5107,0
5118,0
5144,0
5170,0
5171,0
5176,0
5190,0
5197,0
5211,0
5218,0
5226,0
5290,0
5303,0
5329,0
5340,0
5390,0
5404,0
542,1
5451,0
5465,0
5478,0
5480,0
5503,0
5534,0
557,1
5582,0
5593,0
5606,0
5609,0
563,1
564,1
5675,0
5686,0
5699,0
570,1
5703,0
5740,0
5758,0
5815,0
5840,0
5892,0
5930,0
5935,0
5963,0
6035,0
6042,0
6056,0
6068,0
6116,0
6157,0
6167,0
6208,0
6211,0
6235,0
6264,0
6265,0
6269,0
6297,0
6333,0
6372,0
6393,0
6430,0
6434,0
6440,0
6455,0
6474,0
648,1
6487,0
650,1
6506,0
654,1
6553,0
6557,0
6574,0
6577,0
6594,0
6609,0
6611,0
662,1
6620,0
6634,0
6684,0
6695,0
6696,0
6697,0
6708,0
6712,0
6721,0
6724,0
6798,0
6856,0
6862,0
6886,0
6891,0
6936,0
6989,0
7069,0
7082,0
7089,0
7090,0
7095,0
7154,0
7172,0
7184,0
7205,0
7218,0
7219,0
7233,0
726,1
7286,0
7323,0
7353,0
7358,0
7390,0
7408,0
7429,0
7435,0
7469,0
747,1
7501,0
7523,0
7528,0
7615,0
7643,0
7657,0
7664,0
7674,0
769,1
7691,0
7694,0
7708,0
7743,0
7762,0
7782,0
7794,0
7795,0
7797,0
7816,0
7820,0
7843,0
7844,0
785,1
787,1
7878,0
7887,0
7923,0
794,1
7944,0
7962,0
8020,0
8070,0
8086,0
8105,0
8117,0
8124,0
8153,0
817,1
837,1
874,1
883,1
893,1
903,1
916,1
921,1
944,1
949,1
960,1
961,1
978,1
992,1
993,1
999,1
